Transaction Date,Created Date,Order ID,Currency Code,Amount,Service Tax Collected,Swachh Bharat Cess,Order Total,Payment Status,Order Status,Course Title,SC ID
4/28/2016 6:04,4/28/2016 4:44,31889,INR,6000,840,30,6870,success,completed,Digital Marketing Certification,SCG7CR
4/28/2016 3:40,4/28/2016 3:33,31867,INR,9088,1272,45,10406,success,completed,Business Analytics ,SC0105
4/28/2016 2:41,4/28/2016 2:29,31845,INR,21000,2940,105,24045,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
4/28/2016 3:08,4/28/2016 2:28,31844,INR,21000,2940,105,24045,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
4/28/2016 3:45,4/28/2016 1:32,31832,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,
4/28/2016 1:17,4/28/2016 1:05,31825,INR,11446,,,11446,success,completed,Business Analytics ,SCG7CR
4/28/2016 1:08,4/28/2016 1:03,31822,INR,9518,1332,48,10898,success,completed,Project Management ,
4/29/2016 11:06,4/28/2016 12:58,31821,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCTOWERS
4/28/2016 1:30,4/28/2016 12:41,31815,INR,9259,1296,46,10601,success,completed,Big Data Analytics using Hadoop ,SC0102
4/29/2016 9:05,4/28/2016 12:39,31814,INR,9518,1332,48,10898,success,completed,Project Management ,SCTOWERS
4/28/2016 8:28,4/28/2016 12:26,31800,INR,8507,,,8507,success,completed,Cloud Computing with MS Azure,SCTOWERS
4/28/2016 12:26,4/28/2016 12:05,31779,INR,6000,840,30,6870,failure,canceled,Digital Marketing Certification,SCG7CR
4/30/2016 3:37,4/28/2016 12:03,31767,INR,8437,1181,42,9661,failure,canceled,Cloud Computing with AWS,SC0102
4/28/2016 11:40,4/28/2016 11:37,31748,INR,2500,350,13,2863,success,completed,Developer Program with Java and RDBMS,
4/28/2016 4:23,4/28/2016 11:25,31744,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
4/28/2016 11:14,4/28/2016 11:08,31717,INR,2500,350,13,2863,failure,canceled,Developer Program with Java and RDBMS,
4/28/2016 11:46,4/28/2016 10:40,31684,INR,3750,525,19,4294,success,completed,Certificate in Advanced MS Excel 2010,SCG7CR
4/28/2016 10:36,4/28/2016 10:26,31644,INR,9088,1272,45,10406,failure,canceled,Business Analytics ,SCG7CR
4/28/2016 10:43,4/28/2016 10:08,31641,INR,24000,3360,120,27480,success,completed,Digital Marketing Professional Program in association with Google,SCG7CR
4/28/2016 5:03,4/28/2016 4:58,31618,INR,7500,1050,38,8588,success,completed,Business Analytics ,
4/27/2016 10:21,4/27/2016 10:19,31607,INR,262,37,1,300,success,completed,How Google Page Rank works,
